[07-Aug-2017 21:30:40 Asia/Tokyo] PHP Fatal error:  Class 'Gravatar' not found in /home/ubuntu/workspace/route-share/storage/framework/views/2ceb4c504e69db3fd76f9b0764f89bf2 on line 26
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  35. App\Http\Middleware\Authenticate->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/app/Http/Middleware/Authenticate.php:45
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  37. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  38. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  39. Illuminate\Routing\Route->run() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  40. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  41. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  42. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  43. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  44. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  45. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  46. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  47. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  48. Illuminate\Routing\ControllerDispatcher->call() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:112
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  49. Illuminate\Routing\Controller->callAction() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:164
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  50. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[09-Aug-2017 20:14:54 Asia/Tokyo] PHP  51. App\Http\Controllers\RoutesController->index() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP Fatal error:  Class 'App\Http\Controllers\Route' not found in /home/ubuntu/workspace/route-share/app/Http/Controllers/WelcomeController.php on line 22
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP Stack trace:
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/route-share/server.php:0
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/route-share/server.php:21
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/route-share/public/index.php:54
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  34. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  35. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  36. Illuminate\Routing\Route->run() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  37. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  38. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  39. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  40. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  41. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  42. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  43. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  44. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  45. Illuminate\Routing\ControllerDispatcher->call() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:112
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  46. Illuminate\Routing\Controller->callAction() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:164
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  47. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[09-Aug-2017 20:23:38 Asia/Tokyo] PHP  48. App\Http\Controllers\WelcomeController->index() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP Fatal error:  Class 'App\Http\Controllers\User' not found in /home/ubuntu/workspace/route-share/app/Http/Controllers/UsersController.php on line 22
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP Stack trace:
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/route-share/server.php:0
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/route-share/server.php:21
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/route-share/public/index.php:54
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  34. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  35. App\Http\Middleware\Authenticate->handle() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/app/Http/Middleware/Authenticate.php:45
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  37. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  38. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  39. Illuminate\Routing\Route->run() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  40. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  41. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  42. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  43. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  44. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  45. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  46. call_user_func:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  47. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  48. Illuminate\Routing\ControllerDispatcher->call() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:112
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  49. Illuminate\Routing\Controller->callAction() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:164
[10-Aug-2017 05:36:32 Asia/Tokyo] PHP  50. call_user_func_array:{/home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256}() /home/ubuntu/workspace/route-share/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
